DeviceID,BayID,FromDay1,StartTime1,ToDay1,EndTime1,Exemption1,Description1,EffectiveOnPH1,TypeDesc1,Duration1,DisabilityExt1,FromDay2,StartTime2,ToDay2,EndTime2,Exemption2,Description2,TypeDesc2,Duration2,DisabilityExt2,EffectiveOnPH2,FromDay3,StartTime3,ToDay3,EndTime3,Exemption3,Description3,TypeDesc3,Duration3,DisabilityExt3,EffectiveOnPH3,FromDay4,StartTime4,ToDay4,EndTime4,Exemption4,Description4,TypeDesc4,Duration4,DisabilityExt4,EffectiveOnPH4,FromDay5,StartTime5,ToDay5,EndTime5,Exemption5,Description5,TypeDesc5,Duration5,DisabilityExt5,EffectiveOnPH5,FromDay6,StartTime6,ToDay6,EndTime6,Exemption6,Description6,TypeDesc6,Duration6,DisabilityExt6,EffectiveOnPH6
18475,567,1,7:30:00,6,18:30:00,,1P MTR M-SAT 7:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,0,7:30:00,0,18:30:00,,1P SUN 7:30-18:30,1P,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18476,568,1,7:30:00,5,16:00:00,,2P MTR M-F 7:30-16:00,0,2P Meter,120,240,1,18:30:00,5,20:30:00,,2P MTR M-F 18:30-20:30,2P Meter,120,240,0,6,7:30:00,6,20:30:00,,2P MTR SAT 7:30-20:30,2P Meter,120,240,0,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,
18477,569,1,7:30:00,6,18:30:00,,1P MTR M-SAT 7:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,0,7:30:00,0,18:30:00,,1P SUN 7:30-18:30,1P,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18478,570,1,7:30:00,6,18:30:00,,1P MTR M-SAT 7:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,0,7:30:00,0,18:30:00,,1P SUN 7:30-18:30,1P,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18479,571,1,7:30:00,5,16:00:00,,2P MTR M-F 7:30-16:00,0,2P Meter,120,240,1,18:30:00,5,20:30:00,,2P MTR M-F 18:30-20:30,2P Meter,120,240,0,6,7:30:00,6,20:30:00,,2P MTR SAT 7:30-20:30,2P Meter,120,240,0,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,
18422,572,1,7:30:00,6,20:30:00,,2P TKT A M-SAT 7:30-20:30,0,2P Ticket A,120,240,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18480,573,1,7:30:00,5,16:00:00,,2P MTR M-F 7:30-16:00,0,2P Meter,120,240,1,18:30:00,5,20:30:00,,2P MTR M-F 18:30-20:30,2P Meter,120,240,0,6,7:30:00,6,20:30:00,,2P MTR SAT 7:30-20:30,2P Meter,120,240,0,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,
18481,574,1,7:30:00,5,16:00:00,,2P MTR M-F 7:30-16:00,0,2P Meter,120,240,1,18:30:00,5,20:30:00,,2P MTR M-F 18:30-20:30,2P Meter,120,240,0,6,7:30:00,6,20:30:00,,2P MTR SAT 7:30-20:30,2P Meter,120,240,0,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,
18482,575,1,7:30:00,5,16:00:00,,2P MTR M-F 7:30-16:00,0,2P Meter,120,240,1,18:30:00,5,20:30:00,,2P MTR M-F 18:30-20:30,2P Meter,120,240,0,6,7:30:00,6,20:30:00,,2P MTR SAT 7:30-20:30,2P Meter,120,240,0,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,
18483,576,1,7:30:00,5,16:00:00,,2P MTR M-F 7:30-16:00,0,2P Meter,120,240,1,18:30:00,5,20:30:00,,2P MTR M-F 18:30-20:30,2P Meter,120,240,0,6,7:30:00,6,20:30:00,,2P MTR SAT 7:30-20:30,2P Meter,120,240,0,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,
