bay_id,st_marker_id,status,location,lat,lon
4533,10001S,Unoccupied,"(-37.823595902661324, 144.96947030056916)",-37.823595902661324,144.96947030056916
4536,10007S,Present,"(-37.823648561245811, 144.96928797827002)",-37.823648561245811,144.96928797827002
2630,10009W,Present,"(-37.804589078893102, 144.94772758799439)",-37.804589078893102,144.94772758799439
4537,10011S,Present,"(-37.823685442934377, 144.96915773834183)",-37.823685442934377,144.96915773834183
4538,10013S,Unoccupied,"(-37.823704245257467, 144.96909350199502)",-37.823704245257467,144.96909350199502
4539,10015S,Present,"(-37.823722514431807, 144.96902981265143)",-37.823722514431807,144.96902981265143
4540,10017S,Present,"(-37.82374076105183, 144.96896633799761)",-37.82374076105183,144.96896633799761
1890,1002E,Present,"(-37.818135272151238, 144.96278180402521)",-37.818135272151238,144.96278180402521
4542,10032N,Present,"(-37.823241139532016, 144.96677472791441)",-37.823241139532016,144.96677472791441
4544,10034N,Present,"(-37.823230164105702, 144.96670537322245)",-37.823230164105702,144.96670537322245
4549,10041S,Present,"(-37.823374202306383, 144.96570255794359)",-37.823374202306383,144.96570255794359
4550,10043S,Present,"(-37.823362938117114, 144.96563603568552)",-37.823362938117114,144.96563603568552
4552,10045S,Unoccupied,"(-37.823351730610383, 144.96556995277953)",-37.823351730610383,144.96556995277953
4555,10048N,Present,"(-37.823052120818161, 144.96562432707657)",-37.823052120818161,144.96562432707657
6920,10051S,Present,"(-37.821999964024457, 144.96318732544881)",-37.821999964024457,144.96318732544881
1891,1006E,Present,"(-37.81808781545638, 144.96275875823397)",-37.81808781545638,144.96275875823397
2631,10100E,Present,"(-37.803795463066834, 144.9481016399094)",-37.803795463066834,144.9481016399094
2632,10102E,Present,"(-37.803743426697338, 144.94811070076594)",-37.803743426697338,144.94811070076594
2633,10103W,Present,"(-37.80347362638075, 144.94792561150993)",-37.80347362638075,144.94792561150993
2637,10107W,Present,"(-37.803683471603257, 144.9478867437966)",-37.803683471603257,144.9478867437966
2639,10111W,Unoccupied,"(-37.803576876749986, 144.94790645089543)",-37.803576876749986,144.94790645089543
2638,10109W,Unoccupied,"(-37.803632374081744, 144.9478959177749)",-37.803632374081744,144.9478959177749
4551,10044N,Present,"(-37.823074065206825, 144.96575480120418)",-37.823074065206825,144.96575480120418
2640,10113W,Present,"(-37.80352470224846, 144.94791640742318)",-37.80352470224846,144.94791640742318
2635,10105W,Unoccupied,"(-37.803417380548495, 144.94793501097092)",-37.803417380548495,144.94793501097092
4534,10003S,Unoccupied,"(-37.823615195660295, 144.96940349360915)",-37.823615195660295,144.96940349360915
4546,10036N,Present,"(-37.823219383265069, 144.96663581087876)",-37.823219383265069,144.96663581087876
4535,10005S,Unoccupied,"(-37.823632347298542, 144.9693439692783)",-37.823632347298542,144.9693439692783
6921,10053S,Present,"(-37.821956251510301, 144.96314132684188)",-37.821956251510301,144.96314132684188
4548,10038N,Present,"(-37.823208726354451, 144.9665668065341)",-37.823208726354451,144.9665668065341
4553,10046N,Unoccupied,"(-37.823062858213724, 144.96568871854532)",-37.823062858213724,144.96568871854532
2643,10117W,Unoccupied,"(-37.80331023671215, 144.94795352191855)",-37.80331023671215,144.94795352191855
2644,10118E,Unoccupied,"(-37.803312881984837, 144.94818696543484)",-37.803312881984837,144.94818696543484
2645,10119W,Unoccupied,"(-37.803256332166441, 144.94796298576316)",-37.803256332166441,144.94796298576316
2646,10120E,Unoccupied,"(-37.803255143086531, 144.94819724754004)",-37.803255143086531,144.94819724754004
2648,10122E,Unoccupied,"(-37.80319686154327, 144.94820752160638)",-37.80319686154327,144.94820752160638
2649,10124E,Unoccupied,"(-37.803141834965899, 144.94821720676964)",-37.803141834965899,144.94821720676964
2650,10141W,Unoccupied,"(-37.802505012620543, 144.94809301745207)",-37.802505012620543,144.94809301745207
2653,10155W,Present,"(-37.804761961417491, 144.94922465259674)",-37.804761961417491,144.94922465259674
2656,10160E,Present,"(-37.804643688392716, 144.94943935124095)",-37.804643688392716,144.94943935124095
2660,10167W,Unoccupied,"(-37.804403615960304, 144.94928842504095)",-37.804403615960304,144.94928842504095
2662,10169W,Present,"(-37.804350475821188, 144.94929759963316)",-37.804350475821188,144.94929759963316
2664,10171W,Present,"(-37.804297228298935, 144.94930676727614)",-37.804297228298935,144.94930676727614
2669,10178E,Present,"(-37.804111479830631, 144.94953283382202)",-37.804111479830631,144.94953283382202
2671,10180E,Present,"(-37.804057119319594, 144.94954252316751)",-37.804057119319594,144.94954252316751
2673,10182E,Present,"(-37.80400269816495, 144.94955220903609)",-37.80400269816495,144.94955220903609
2674,10183W,Present,"(-37.80398937902396, 144.94936052460091)",-37.80398937902396,144.94936052460091
2675,10184E,Present,"(-37.803948497117048, 144.94956185933643)",-37.803948497117048,144.94956185933643
2651,10151W,Present,"(-37.804871339038115, 144.94920576317588)",-37.804871339038115,144.94920576317588
